timestamp,src_ip,dst_ip,src_port,dst_port,tcp_flags,packet_count,label
2026-01-13T15:02:34.933642+00:00,10.232.71.26,10.232.71.48,52452,22,0x0010,94,SSH_BRUTE_FORCE
2026-01-13T15:02:34.933727+00:00,10.232.71.48,10.232.71.26,22,52452,0x0018,75,SSH_BRUTE_FORCE
2026-01-13T15:02:34.933807+00:00,10.232.71.26,10.232.71.48,52478,22,0x0010,95,SSH_BRUTE_FORCE
2026-01-13T15:02:34.933889+00:00,10.232.71.26,10.232.71.48,52478,22,0x0018,96,SSH_BRUTE_FORCE
2026-01-13T15:02:34.933972+00:00,10.232.71.48,10.232.71.26,22,52478,0x0010,76,SSH_BRUTE_FORCE
2026-01-13T15:02:34.934056+00:00,10.232.71.26,10.232.71.48,52452,22,0x0018,97,SSH_BRUTE_FORCE
2026-01-13T15:02:34.934587+00:00,10.232.71.48,10.232.71.26,22,52452,0x0010,77,SSH_BRUTE_FORCE
2026-01-13T15:02:34.934832+00:00,10.232.71.48,10.232.71.26,22,52478,0x0018,78,SSH_BRUTE_FORCE
2026-01-13T15:02:34.935059+00:00,10.232.71.48,10.232.71.26,22,52472,0x0018,79,SSH_BRUTE_FORCE
2026-01-13T15:02:34.935305+00:00,10.232.71.26,10.232.71.48,52446,22,0x0018,98,SSH_BRUTE_FORCE
2026-01-13T15:02:34.935538+00:00,10.232.71.48,10.232.71.26,22,52446,0x0010,80,SSH_BRUTE_FORCE
2026-01-13T15:02:34.935760+00:00,10.232.71.26,10.232.71.48,52472,22,0x0010,99,SSH_BRUTE_FORCE
2026-01-13T15:02:34.935984+00:00,10.232.71.26,10.232.71.48,52472,22,0x0018,100,SSH_BRUTE_FORCE
2026-01-13T15:02:34.936209+00:00,10.232.71.48,10.232.71.26,22,52472,0x0010,81,SSH_BRUTE_FORCE
2026-01-13T15:02:34.936433+00:00,10.232.71.26,10.232.71.48,52452,22,0x0018,101,SSH_BRUTE_FORCE
2026-01-13T15:02:34.936658+00:00,10.232.71.48,10.232.71.26,22,52452,0x0010,82,SSH_BRUTE_FORCE
2026-01-13T15:02:34.936891+00:00,10.232.71.26,10.232.71.48,52478,22,0x0018,102,SSH_BRUTE_FORCE
2026-01-13T15:02:34.937121+00:00,10.232.71.48,10.232.71.26,22,52492,0x0018,83,SSH_BRUTE_FORCE
2026-01-13T15:02:34.937352+00:00,10.232.71.26,10.232.71.48,52492,22,0x0010,103,SSH_BRUTE_FORCE
2026-01-13T15:02:34.937579+00:00,10.232.71.26,10.232.71.48,52492,22,0x0018,104,SSH_BRUTE_FORCE
2026-01-13T15:02:34.937805+00:00,10.232.71.48,10.232.71.26,22,52492,0x0010,84,SSH_BRUTE_FORCE
2026-01-13T15:02:34.938025+00:00,10.232.71.48,10.232.71.26,22,52472,0x0018,85,SSH_BRUTE_FORCE
2026-01-13T15:02:34.938253+00:00,10.232.71.48,10.232.71.26,22,52436,0x0018,86,SSH_BRUTE_FORCE
