timestamp,src_ip,dst_ip,ip_len,ttl,src_port,dst_port,tcp_seq,packet_count,label
2026-01-13T18:11:34.924857+00:00,10.232.71.26,10.232.71.48,40,64,1943,80,0,142,NORMAL
2026-01-13T18:11:34.924907+00:00,10.232.71.26,10.232.71.48,40,64,1944,80,0,143,NORMAL
2026-01-13T18:11:34.924955+00:00,10.232.71.26,10.232.71.48,40,64,1945,80,0,144,NORMAL
2026-01-13T18:11:34.925004+00:00,10.232.71.26,10.232.71.48,40,64,1946,80,0,145,NORMAL
2026-01-13T18:11:34.925054+00:00,10.232.71.26,10.232.71.48,40,64,1947,80,0,146,NORMAL
2026-01-13T18:11:34.926126+00:00,10.232.71.26,10.232.71.48,40,64,1948,80,0,147,NORMAL
2026-01-13T18:11:34.928211+00:00,10.232.71.26,10.232.71.48,40,64,1949,80,0,148,NORMAL
2026-01-13T18:11:34.929091+00:00,10.232.71.26,10.232.71.48,40,64,1950,80,0,149,NORMAL
2026-01-13T18:11:34.929740+00:00,10.232.71.26,10.232.71.48,40,64,1951,80,0,150,NORMAL
2026-01-13T18:11:34.931314+00:00,10.232.71.26,10.232.71.48,40,64,1952,80,0,151,NORMAL
2026-01-13T18:11:34.931447+00:00,10.232.71.26,10.232.71.48,40,64,1953,80,0,152,NORMAL
2026-01-13T18:11:34.931514+00:00,10.232.71.26,10.232.71.48,40,64,1954,80,0,153,NORMAL
2026-01-13T18:11:34.931570+00:00,10.232.71.26,10.232.71.48,40,64,1955,80,0,154,NORMAL
2026-01-13T18:11:34.931622+00:00,10.232.71.26,10.232.71.48,40,64,1956,80,0,155,NORMAL
2026-01-13T18:11:34.931673+00:00,10.232.71.26,10.232.71.48,40,64,1957,80,0,156,NORMAL
2026-01-13T18:11:34.931723+00:00,10.232.71.26,10.232.71.48,40,64,1958,80,0,157,NORMAL
2026-01-13T18:11:34.931775+00:00,10.232.71.26,10.232.71.48,40,64,1959,80,0,158,NORMAL
2026-01-13T18:11:34.931833+00:00,10.232.71.26,10.232.71.48,40,64,1960,80,0,159,NORMAL
2026-01-13T18:11:34.931885+00:00,10.232.71.26,10.232.71.48,40,64,1961,80,0,160,NORMAL
