timestamp,src_ip,dst_ip,ip_len,ttl,src_port,dst_port,tcp_seq,unique_port_count,label
2026-01-13T18:34:01.934172+00:00,,,,,43336,443,36704,5,NORMAL
2026-01-13T18:34:01.934220+00:00,,,,,443,43336,31749,5,NORMAL
2026-01-13T18:34:01.934316+00:00,,,,,43336,443,36704,5,NORMAL
2026-01-13T18:34:01.936152+00:00,,,,,43336,443,36704,5,NORMAL
2026-01-13T18:34:01.936286+00:00,,,,,43336,443,38034,5,NORMAL
2026-01-13T18:34:01.936375+00:00,,,,,43336,443,39364,5,NORMAL
2026-01-13T18:34:01.936430+00:00,,,,,43336,443,40694,5,NORMAL
2026-01-13T18:34:01.936488+00:00,,,,,43336,443,42024,5,NORMAL
2026-01-13T18:34:01.936539+00:00,,,,,43336,443,43354,5,NORMAL
2026-01-13T18:34:03.977330+00:00,,,,,443,43336,31780,5,NORMAL
2026-01-13T18:34:03.977443+00:00,,,,,443,43336,33563,5,NORMAL
2026-01-13T18:34:03.977509+00:00,,,,,43336,443,44684,5,NORMAL
2026-01-13T18:34:03.977576+00:00,,,,,443,43336,33679,5,NORMAL
2026-01-13T18:34:03.977634+00:00,,,,,43336,443,46014,5,NORMAL
2026-01-13T18:34:03.977698+00:00,,,,,43336,443,47344,5,NORMAL
2026-01-13T18:34:03.977755+00:00,,,,,443,43336,33679,5,NORMAL
2026-01-13T18:34:03.977950+00:00,,,,,443,43336,33679,5,NORMAL
2026-01-13T18:34:03.978020+00:00,,,,,443,43336,33679,5,NORMAL
2026-01-13T18:34:03.978080+00:00,,,,,443,43336,33679,5,NORMAL
2026-01-13T18:34:03.978148+00:00,,,,,43336,443,48674,5,NORMAL
2026-01-13T18:34:03.978210+00:00,,,,,43336,443,50004,5,NORMAL
2026-01-13T18:34:03.978266+00:00,,,,,443,43336,33679,5,NORMAL
2026-01-13T18:34:03.978321+00:00,,,,,43336,443,51334,5,NORMAL
2026-01-13T18:34:03.978377+00:00,,,,,443,43336,33679,5,NORMAL
2026-01-13T18:34:03.978432+00:00,,,,,443,43336,33755,5,NORMAL
2026-01-13T18:34:03.978488+00:00,,,,,443,43336,33755,5,NORMAL
2026-01-13T18:34:03.978545+00:00,,,,,443,43336,33755,5,NORMAL
2026-01-13T18:34:03.978601+00:00,,,,,443,43336,33755,5,NORMAL
2026-01-13T18:34:03.978663+00:00,,,,,443,43336,33755,5,NORMAL
2026-01-13T18:34:03.978722+00:00,,,,,43336,443,51474,5,NORMAL
2026-01-13T18:34:03.978778+00:00,,,,,443,43336,33831,5,NORMAL
2026-01-13T18:34:03.978842+00:00,,,,,443,43336,33899,5,NORMAL
2026-01-13T18:34:03.978899+00:00,,,,,43336,443,51474,5,NORMAL
2026-01-13T18:34:03.978957+00:00,,,,,443,43336,33967,5,NORMAL
